Game,LastHitter,BallX,BallY,BallZ,BallSpeed,AIPaddleZ,PlayerPaddleZ,Result
0,Player,-66.82,13.08,-38.16,21.15,11.40,-38.12,PlayerScored
0,AI,17.76,3.35,-2.33,24.20,11.40,-2.45,AIScored
0,AI,17.82,3.49,-4.50,24.67,13.10,-4.69,AIScored
0,Player,-33.90,3.56,4.42,25.90,9.50,4.46,PlayerScored
0,Player,-33.25,3.46,7.51,25.73,9.40,7.63,PlayerScored
0,Player,-34.85,3.70,0.73,25.81,2.00,0.76,PlayerScored
0,Player,-35.44,3.65,0.76,25.89,-4.60,0.89,PlayerScored
0,Player,-24.85,3.75,13.15,26.02,21.40,13.21,PlayerScored
0,Player,-33.67,3.56,6.23,25.94,10.50,6.49,PlayerScored
0,AI,20.55,3.53,-0.49,24.82,3.90,-1.10,AIScored
0,AI,21.28,3.26,-2.03,25.05,3.90,-3.94,AIScored
0,Player,-33.69,3.67,7.15,25.97,11.20,7.14,PlayerScored
0,AI,15.80,3.37,-6.35,25.53,15.70,-6.41,AIScored
0,AI,17.98,3.75,-5.78,24.73,15.70,-5.67,AIScored
0,Player,-67.39,12.42,32.75,21.20,18.90,32.54,PlayerScored
0,AI,19.55,3.58,-2.54,24.38,4.00,-3.02,AIScored
0,Player,-35.57,3.48,1.32,26.00,0.40,1.61,PlayerScored
0,AI,18.37,3.41,-4.94,24.52,12.30,-5.10,AIScored
0,Player,-34.85,4.07,0.68,26.01,7.60,0.78,PlayerScored
0,Player,-33.54,3.78,7.23,26.10,-5.10,7.14,PlayerScored
0,None,-66.95,1.77,-27.80,23.54,19.00,-27.94,AIScored
0,Player,-27.14,-0.55,-49.96,19.99,-12.20,-50.53,PlayerScored
0,AI,30.69,3.43,1.86,17.72,13.20,1.64,AIScored
0,None,-67.06,0.66,32.65,24.00,40.10,33.04,AIScored
0,None,-67.10,13.20,34.86,21.09,40.10,35.28,AIScored
0,Player,14.24,3.20,-1.10,19.60,2.20,-1.05,PlayerScored
0,Player,24.84,3.81,-9.11,19.04,4.40,-9.09,PlayerScored
0,AI,-30.14,10.20,50.84,21.72,25.30,51.16,AIScored
0,Player,-67.14,12.78,19.62,20.37,0.40,19.69,PlayerScored
0,Player,17.30,3.37,-26.72,20.17,-27.70,-27.15,PlayerScored
0,Player,-66.96,13.22,35.30,21.09,-27.20,35.72,PlayerScored
0,AI,-17.81,-0.05,43.96,21.89,22.20,44.20,AIScored
0,AI,-65.56,12.10,8.47,18.96,40.10,8.58,AIScored
0,Player,-66.98,5.22,15.80,22.48,40.10,15.74,PlayerScored
0,Player,-66.91,3.64,7.71,22.86,40.10,7.76,PlayerScored
0,Player,-66.95,13.23,9.85,21.07,40.10,11.30,PlayerScored
0,Player,-66.86,3.32,6.90,22.95,40.10,6.94,PlayerScored
0,Player,-66.79,13.36,-30.71,21.02,40.10,-30.85,PlayerScored
0,Player,-66.76,13.29,15.21,21.04,40.10,15.87,PlayerScored
0,Player,-66.97,13.32,16.37,21.03,40.10,16.45,PlayerScored
0,Player,-66.85,12.80,12.01,20.11,40.10,13.16,PlayerScored
0,Player,-66.87,13.39,-22.53,21.00,40.10,-22.50,PlayerScored
0,Player,-66.72,5.22,14.69,22.40,40.10,14.81,PlayerScored
0,Player,-66.79,4.68,13.67,22.56,40.10,13.78,PlayerScored
1,Player,-66.98,13.28,-33.42,21.06,40.10,-33.23,PlayerScored
1,Player,-67.06,13.19,-4.54,21.09,40.10,-4.92,PlayerScored
1,Player,-66.71,13.32,32.88,21.04,40.10,32.88,PlayerScored
1,Player,-66.96,13.23,9.53,21.07,40.10,9.77,PlayerScored
1,Player,-66.57,12.49,28.21,20.78,40.10,28.74,PlayerScored
1,Player,-66.92,12.71,13.49,20.16,40.10,13.52,PlayerScored
1,Player,-66.86,12.90,1.36,20.04,40.10,1.40,PlayerScored
1,Player,-66.97,13.28,-33.52,21.06,40.10,-33.48,PlayerScored
1,Player,-67.02,13.37,20.24,21.01,40.10,20.30,PlayerScored
1,Player,-67.42,13.27,-9.90,21.06,40.10,-10.51,PlayerScored
1,Player,-66.66,8.40,23.39,21.57,40.10,23.51,PlayerScored
2,Player,-66.74,12.36,31.82,21.04,40.10,32.04,PlayerScored
2,Player,-66.71,12.80,20.94,20.36,40.10,21.22,PlayerScored
2,Player,-66.97,7.59,22.16,21.84,40.10,22.23,PlayerScored
2,Player,-66.87,12.71,9.08,20.09,40.10,9.55,PlayerScored
2,Player,-66.93,13.38,29.40,21.01,40.10,29.56,PlayerScored
2,Player,-66.88,13.32,16.58,21.03,40.10,16.60,PlayerScored
2,Player,-66.81,13.18,-36.35,21.11,40.10,-36.38,PlayerScored
2,AI,-66.02,18.67,20.63,16.34,40.10,20.82,AIScored
2,Player,-66.95,6.23,18.18,22.14,40.10,18.33,PlayerScored
2,Player,-66.76,3.32,7.12,22.93,40.10,7.05,PlayerScored
2,Player,-66.95,3.10,5.88,23.03,40.10,5.88,PlayerScored
3,Player,-66.83,12.63,27.16,20.74,40.10,27.08,PlayerScored
3,Player,-67.07,13.32,15.73,21.03,40.10,16.57,PlayerScored
3,Player,-66.89,13.23,-10.05,21.07,40.10,-10.23,PlayerScored
3,Player,-66.88,13.32,16.63,21.03,40.10,16.72,PlayerScored
3,Player,-66.85,13.43,28.39,20.84,40.10,28.37,PlayerScored
3,Player,-66.97,12.79,14.86,20.16,40.10,14.80,PlayerScored
3,Player,-67.05,13.23,-8.84,21.07,40.10,-10.77,PlayerScored
3,Player,-67.08,13.27,-11.72,21.06,40.10,-12.14,PlayerScored
3,AI,-66.66,15.50,30.40,19.05,40.10,30.43,AIScored
3,Player,-67.23,12.85,15.30,20.22,40.10,15.43,PlayerScored
3,Player,-66.78,3.33,5.35,22.97,40.10,5.44,PlayerScored
3,Player,-66.95,12.91,10.09,20.10,40.10,10.21,PlayerScored
4,Player,-66.75,12.90,2.72,20.02,40.10,2.76,PlayerScored
4,Player,-66.75,6.90,19.78,21.89,40.10,19.89,PlayerScored
4,Player,-66.94,7.12,20.74,21.92,40.10,21.19,PlayerScored
4,Player,-66.70,12.87,23.08,20.48,40.10,23.08,PlayerScored
4,Player,-66.93,3.91,10.69,22.85,40.10,10.88,PlayerScored
4,Player,-66.55,12.20,32.73,21.09,40.10,33.02,PlayerScored
4,Player,-67.32,13.22,-5.57,21.09,40.10,-6.29,PlayerScored
0,None,-1.70,1.96,-0.25,21.00,40.10,7.20,AIScored
0,AI,-32.61,5.81,51.17,22.89,34.30,50.93,AIScored
0,Player,-66.78,18.69,16.10,19.68,14.60,16.48,PlayerScored
0,Player,-67.02,13.02,38.04,21.15,14.60,38.24,PlayerScored
0,Player,-66.94,13.32,-18.23,21.02,14.60,-18.68,PlayerScored
0,Player,-66.80,13.07,38.39,21.15,14.60,38.96,PlayerScored
0,AI,67.01,13.65,-22.92,22.32,22.70,-23.05,AIScored
0,AI,-30.16,3.55,38.86,21.49,27.30,38.74,AIScored
0,Player,-66.95,19.28,26.63,19.84,11.00,26.66,PlayerScored
0,AI,-12.34,3.60,19.86,20.85,11.00,20.38,AIScored
0,AI,-19.92,3.48,-9.69,19.09,7.40,-9.92,AIScored
0,None,-67.17,1.35,29.38,23.72,16.20,29.76,AIScored
0,AI,-18.20,3.51,38.63,21.01,17.90,38.86,AIScored
0,AI,-13.16,3.37,19.65,20.71,11.20,19.96,AIScored
0,AI,-67.17,13.24,-11.07,21.06,11.20,-11.26,AIScored
0,Player,-66.98,19.74,20.56,19.60,21.20,20.81,PlayerScored
0,Player,-67.12,13.25,-34.26,21.07,-18.30,-34.77,PlayerScored
0,AI,-13.23,3.52,22.60,20.59,15.90,22.99,AIScored
0,None,-59.55,-1.80,-25.52,10.37,-6.40,-26.59,AIScored
0,AI,-2.90,2.00,-3.67,2.42,-4.40,-3.78,AIScored
0,AI,-59.92,-1.80,-22.68,10.40,-12.70,-22.66,AIScored
0,AI,-59.40,-1.80,30.98,10.26,-12.70,31.34,AIScored
0,None,-66.41,-1.90,-26.63,20.34,40.10,-26.39,AIScored
0,None,-65.65,-0.81,-1.61,16.48,40.10,-1.71,AIScored
0,Player,42.28,3.58,-27.61,25.43,2.20,-27.56,PlayerScored
0,Player,-61.64,-0.53,17.92,17.78,-23.20,18.22,PlayerScored
0,AI,-38.63,3.22,14.47,13.81,-2.80,14.42,AIScored
0,Player,-66.27,-1.12,35.48,23.22,20.50,35.42,PlayerScored
0,Player,-66.19,4.68,34.10,20.83,0.50,34.27,PlayerScored
0,Player,-66.23,15.19,8.23,15.21,-12.40,8.46,PlayerScored
0,AI,-38.10,3.79,5.70,15.83,12.30,5.72,AIScored
0,None,-59.22,-0.90,-28.10,16.48,-31.00,-28.10,AIScored
0,Player,5.58,2.97,-16.26,12.91,26.30,-16.36,PlayerScored
0,AI,-59.69,-0.14,1.59,17.98,23.00,1.18,AIScored
0,Player,-66.25,13.97,4.24,15.13,37.70,4.62,PlayerScored
0,Player,-66.33,12.13,15.92,16.35,11.80,16.37,PlayerScored
0,None,-57.26,-0.81,32.13,16.48,50.10,32.04,AIScored
0,AI,-35.79,3.31,34.23,15.44,20.50,34.49,AIScored
0,Player,-58.88,-0.74,6.62,16.59,12.40,6.82,PlayerScored
0,Player,-66.28,8.19,26.93,19.12,-2.60,27.58,PlayerScored
0,None,-66.42,12.72,12.52,15.24,18.10,13.44,AIScored
0,AI,-28.87,3.23,10.23,13.76,21.40,10.26,AIScored
0,AI,-35.04,3.23,16.01,14.26,7.20,16.09,AIScored
0,Player,-66.06,-1.30,5.68,22.07,-4.10,5.98,PlayerScored
0,AI,-65.89,12.59,15.75,14.07,32.30,15.76,AIScored
0,Player,-41.40,4.64,50.67,17.97,51.00,50.73,PlayerScored
0,AI,-49.86,9.72,49.97,23.79,45.60,49.99,AIScored
0,AI,-49.42,9.86,50.78,17.10,27.80,51.12,AIScored
0,Player,28.13,3.04,15.43,14.58,22.70,15.20,PlayerScored
0,AI,-30.71,3.20,34.47,14.88,28.50,34.91,AIScored
0,Player,-66.52,14.97,39.17,16.33,29.40,39.59,PlayerScored
0,Player,30.69,3.28,26.06,14.48,24.40,26.23,PlayerScored
0,None,-66.57,0.66,12.47,19.11,24.40,12.13,AIScored
0,Player,-50.51,16.40,50.68,14.56,24.40,50.81,PlayerScored
0,None,-32.90,-0.60,48.29,18.34,24.40,48.40,AIScored
0,Player,26.89,3.28,25.02,14.86,24.40,25.25,PlayerScored
0,AI,-32.94,3.17,17.22,14.54,13.30,17.47,AIScored
0,Player,-66.36,15.73,17.06,15.77,10.00,17.08,PlayerScored
0,Player,-50.19,3.01,32.91,15.98,32.40,32.53,PlayerScored
0,AI,-29.90,3.40,17.26,15.91,11.60,17.40,AIScored
0,Player,29.89,3.24,-17.47,14.78,13.50,-18.02,PlayerScored
0,Player,30.87,3.12,-29.95,15.40,8.20,-30.08,PlayerScored
0,AI,-30.81,3.27,25.83,16.01,15.20,25.84,AIScored
0,Player,32.15,3.38,-12.27,14.63,9.00,-12.42,PlayerScored
0,None,-66.29,-1.57,-19.09,20.11,9.00,-19.16,AIScored
0,AI,-34.36,3.35,26.41,14.93,23.40,26.42,AIScored
0,Player,-66.33,15.84,6.98,14.94,-0.40,8.23,PlayerScored
0,AI,-46.40,3.26,22.98,14.59,3.50,23.05,AIScored
0,Player,25.23,3.41,-19.68,15.77,9.20,-19.74,PlayerScored
0,AI,-36.43,2.68,-0.87,15.16,4.40,-0.62,AIScored
0,AI,-57.69,0.18,35.78,18.47,11.70,38.36,AIScored
0,AI,-54.80,-1.23,37.68,10.05,33.30,39.78,AIScored
0,AI,-28.62,3.36,0.12,15.76,9.50,-1.34,AIScored
0,AI,66.06,3.80,-12.10,21.40,7.30,-12.95,AIScored
0,AI,-41.82,2.71,19.78,11.19,17.30,21.27,AIScored
0,None,-66.57,0.59,-9.02,19.11,-0.10,-11.41,AIScored
0,None,-64.72,-0.56,29.34,16.88,-0.10,33.70,AIScored
0,Player,-58.01,-0.57,29.70,17.33,22.10,32.25,PlayerScored
0,AI,-32.97,3.20,25.93,15.71,19.30,27.40,AIScored
0,AI,66.20,1.24,-9.01,22.10,5.30,-11.30,AIScored
0,None,-66.39,-1.70,20.58,20.21,5.30,22.66,AIScored
0,Player,-56.77,-0.35,30.30,17.75,24.80,33.94,PlayerScored
0,AI,-30.42,3.37,11.59,15.25,4.40,16.84,AIScored
0,Player,-66.24,13.88,8.62,16.19,2.00,9.97,PlayerScored
0,Player,4.96,3.03,0.22,14.25,20.20,8.10,PlayerScored
0,Player,2.52,3.18,11.34,13.11,20.20,12.69,PlayerScored
0,Player,5.56,3.05,0.07,15.00,10.90,0.57,PlayerScored
0,Player,-59.29,-0.76,50.43,15.37,0.00,52.95,PlayerScored
0,Player,6.79,3.11,28.89,15.28,0.00,30.88,PlayerScored
0,Player,-40.83,3.10,3.47,15.28,6.50,5.75,PlayerScored
0,Player,24.95,2.76,13.19,14.83,6.50,14.34,PlayerScored
0,Player,2.38,3.14,-0.14,14.05,-8.70,2.89,PlayerScored
0,None,-64.19,-0.83,-13.68,16.48,0.00,-15.67,AIScored
0,None,-61.51,-0.65,35.36,16.88,0.00,37.54,AIScored
0,Player,6.40,3.05,36.48,14.54,19.10,37.06,PlayerScored
0,AI,38.05,3.10,-25.17,13.51,1.70,-26.47,AIScored
0,Player,8.63,3.69,-9.60,17.66,0.70,-10.56,PlayerScored
0,Player,-40.71,2.92,1.58,14.59,6.50,1.98,PlayerScored
0,Player,-48.29,3.27,7.55,16.03,10.90,9.61,PlayerScored
0,AI,-26.76,-0.21,45.76,17.19,8.40,48.16,AIScored
0,Player,10.96,3.74,10.72,18.61,-4.20,12.52,PlayerScored
0,AI,-32.15,3.39,39.85,15.28,29.30,41.57,AIScored
